region,country,quarter,fiscal_year,revenue_usd,cost_usd,headcount
EMEA,United Kingdom,Q1,2024,412000,238000,21
EMEA,Germany,Q1,2024,388000,221000,19
EMEA,France,Q1,2024,404000,249000,22
AMER,United States,Q1,2024,2104000,1288000,88
AMER,Canada,Q1,2024,776000,468000,30
APAC,Japan,Q1,2024,512000,281000,24
APAC,Singapore,Q1,2024,428000,244000,23
LATAM,Brazil,Q1,2024,315000,221000,19
EMEA,United Kingdom,Q2,2024,455000,251000,22
EMEA,Germany,Q2,2024,431000,238000,20
EMEA,France,Q2,2024,432000,252000,20
AMER,United States,Q2,2024,2298000,1392000,92
AMER,Canada,Q2,2024,844000,512000,26
APAC,Japan,Q2,2024,441000,281000,24
APAC,Singapore,Q2,2024,371000,237000,23
LATAM,Brazil,Q2,2024,388000,267000,19
